provincia,municipio,latitud,longitud
Chubut,Camarones,-44.798290873,-65.710599293
Entre rios,Santa ana,-30.900497031,-57.931080953
Cordoba,El rastreador,-33.664478732,-63.539236804
Cordoba,Las caleras,-32.413348605,-64.551332706
Buenos aires,Villarino,-38.7426179,-63.1062383
Buenos aires,San pedro,-33.8011746,-59.7339285
Neuquen,Villa la angostura,-40.785526276,-71.6218338
Entre rios,Irazusta,-32.95109616,-58.88915796
Jujuy,Abralaite,-22.969815379,-65.87698176
Cordoba,Tosquita,-33.818824822,-64.456932741
Cordoba,Pueblo italiano,-33.880722767,-62.840725031
Cordoba,Los hoyos,-29.802434072,-63.627362284
Misiones,Colonia victoria,-26.281223527,-54.613845637
Tucuman,Area sin gobierno,-27.77762413,-65.509117127
Cordoba,Canada de luque,-30.737087515,-63.723661878
Santa fe,Barrancas,-32.244721828,-60.923983978
Cordoba,Plaza luxardo,-31.304748884,-62.133302336
Santa fe,Gobernador crespo,-30.36483469,-60.401168405
Cordoba,Cabalango,-31.393104901,-64.563565264
Salta,El quebrachal,-25.2675457,-63.958450317
Buenos aires,General guido,-36.6656205,-58.0745242
Misiones,Profundidad,-27.558519814,-55.703447407
Cordoba,Las vertientes,-33.283946385,-64.578146226
La pampa,Miguel cane,-36.154958179,-63.512154373
La pampa,Bernardo larroude,-35.024076614,-63.581478678
Santa fe,Classon,-32.5187599,-61.3693487
Santa fe,Crispi,-31.741725213,-62.037876536
Cordoba,Laguna larga,-31.778398722,-63.802736901
Jujuy,Libertador general san martin,-23.884973526,-64.673904419
Tucuman,Rio chico y nueva trinidad,-27.5124551,-65.3394543
Santa fe,Providencia,-30.984586837,-61.02182815
Cordoba,Arroyo cabral,-32.488982497,-63.401479449
Entre rios,Alcaraz,-31.406708234,-59.593953011
Santa fe,Pavon,-33.243075481,-60.406275794
Santa fe,Lucio v lopez,-32.714729723,-61.022607357
Buenos aires,San isidro,-34.479401812,-58.5074044
Entre rios,El cimarron,-30.846564043,-59.077944559
Ciudad de buenos aires,Comuna 9,-34.658368289,-58.501731952
Santa fe,Alvarez,-33.128873398,-60.713039439
Tucuman,Santa ana,-27.472232136,-65.684167542
Santa fe,Peyrano,-33.54113786,-60.804329559
Santa fe,San carlos centro,-31.728417999,-61.091395786
Jujuy,Purmamarca,-23.764385223,-65.469772339
Entre rios,Antelo,-32.533810255,-60.035696612
Santa fe,Felicia,-31.246393988,-61.212881667
Tucuman,Villa padre monti,-26.427768707,-65.080795288
Entre rios,San ernesto,-31.837629846,-58.633441222
Santa fe,Aguara grande,-29.854516983,-60.904865265
Santa fe,Timbues,-32.669625268,-60.794354824
Cordoba,Mattaldi,-34.480386734,-64.169503305
Formosa,Colonia sarmiento,-24.6432909,-59.4336114
Cordoba,La pampa,-30.943220475,-64.276534921
Misiones,9 de julio,-26.414533311,-54.497611623
Corrientes,Palmar grande,-27.913323542,-57.85867697
Cordoba,Charras,-33.024167732,-64.045826241
Tucuman,Gastona y belicha,-27.3126707,-65.4820785
Chaco,La leonesa,-27.037959628,-58.706937718
Cordoba,Pilar,-31.680451686,-63.88149798
Santa fe,Gessler,-31.877044953,-61.128836765
Tucuman,San andres,-26.933485031,-65.194259644
Cordoba,Jesus maria,-30.981193738,-64.095771287
Buenos aires,Tigre,-34.3277116,-58.608687
Cordoba,Oncativo,-31.912835805,-63.683682032
La pampa,Bernasconi,-37.902068191,-63.745079353
La pampa,Sarah,-35.024692306,-63.686962378
Santa fe,Murphy,-33.4928639,-61.83395
Cordoba,Colonia videla,-31.917023912,-63.50329653
Cordoba,San joaquin,-34.510639556,-63.713274696
Santa fe,Empalme villa constitucion,-33.255594638,-60.389775871
Santiago del estero,Tintina,-27.02592913,-62.662443997
Catamarca,Huillapima,-28.515360023,-65.95517749
Cordoba,Estacion juarez celman,-31.306907348,-64.17853146
Corrientes,Mocoreta,-30.62171574,-57.89384176
Rio negro,General enrique godoy,-39.079550122,-67.157550826
Cordoba,Kilometro 658,-31.370747,-63.5325789
Cordoba,Las saladas,-30.759468101,-63.203502729
Chubut,El maiten,-42.068796126,-71.215834314
Entre rios,Picada beron,-30.8561,-59.3493
Entre rios,Lucas norte,-31.29401755,-58.90571994
Neuquen,Sauzal bonito,-38.589513864,-69.070450045
Ciudad de buenos aires,Comuna 6,-34.6168255,-58.44360311
Jujuy,Caspala,-23.357236293,-65.118399736
Salta,La poma,-24.592188174,-66.195291296
Santa fe,Carreras,-33.598283457,-61.311768436
Cordoba,Rosario del saladillo,-30.3528352,-63.4382652
Santa fe,Zenon pereyra,-31.564397214,-61.898425061
Misiones,Colonia delicia,-26.244541361,-54.590467561
San luis,Nacion ranquel,-34.608619,-65.734852998
Ciudad de buenos aires,Comuna 3,-34.623864473,-58.401885798
Santa fe,Pavon arriba,-33.34215,-60.8606515
Cordoba,Inriville,-32.943840524,-62.230548752
Entre rios,Distrito sexto costa de nogoya,-32.819087944,-59.789226787
Cordoba,El tio,-31.384548622,-62.828473765
Cordoba,Los cisnes,-33.400060095,-63.471651556
Cordoba,Villa ascasubi,-32.206674038,-63.810597435
San luis,Zanjitas,-33.773693085,-66.373092651
Cordoba,Santa rosa de rio primero,-31.151477207,-63.401591256
Santa cruz,Puerto deseado,-47.751464928,-65.901204368
Rio negro,Cipolletti,-38.965598021,-67.950955022
Santa fe,Vera,-29.299720277,-60.890712297
Neuquen,Los miches,-37.1908156,-70.74561356
La pampa,Intendente alvear,-35.236869337,-63.592327452
Jujuy,Tilcara,-23.570352014,-65.394079344
Rio negro,Nahuel niyeu,-40.253646851,-66.606781006
Misiones,Gobernador roca,-27.31961712,-55.39536423
Santa fe,Pujato,-33.019573354,-61.043831649
Buenos aires,Castelli,-36.103578,-57.814792
Santa cruz,Comandante luis piedra buena,-49.985990981,-68.913081692
Ciudad de buenos aires,Comuna 7,-34.635939228,-58.437695602
La pampa,Lonquimay,-36.467626342,-63.623722345
Santa fe,Reconquista,-29.2344858,-59.6725019
Cordoba,Oliva,-32.041317402,-63.569382066
La pampa,Speluzzi,-35.547293622,-63.820040334
Entre rios,Distrito chiqueros,-32.172979005,-59.563413013
Cordoba,Ordonez,-32.841271533,-62.866054921
Formosa,Mojon de fierro,-26.034511972,-58.049930762
Santa fe,Empalme san carlos,-31.548778087,-60.812722336
Santiago del estero,La aurora,-27.519003369,-64.182073364
Buenos aires,San cayetano,-38.346970947,-59.606382606
Santa fe,Villa ocampo,-28.5214663,-59.3457614
Tucuman,San jose de la cocha,-27.731596701,-65.582759521
La pampa,General san martin,-37.978530134,-63.606585453
Misiones,Olegario victor andrade,-27.565822036,-55.501725428
Buenos aires,Pinamar,-37.144555777,-56.890291999
Tucuman,Rio colorado,-27.13626,-65.39506
Santa fe,San carlos norte,-31.674310577,-61.07625852
Corrientes,Caa cati,-27.735075436,-57.605227557
Formosa,Tres lagunas,-25.215364437,-58.513269491
Salta,San antonio de los cobres,-24.26374054,-66.386131287
Santa fe,San jeronimo del sauce,-31.611212476,-61.142518072
Jujuy,Rosario de rio grande,-24.293113172,-64.881220845
Buenos aires,Trenque lauquen,-36.0130646,-62.6706257
Cordoba,Villa carlos paz,-31.418238021,-64.493344806
Rio negro,El cain,-41.818287425,-68.077415238
Catamarca,Valle viejo,-28.481868042,-65.635132665
La pampa,Luan toro,-36.201681877,-65.09727824
Tucuman,El bracho y el cevilar,-26.992101919,-65.181245025
Salta,Tartagal,-22.606262207,-63.394313812
Santiago del estero,Villa rio hondo,-27.634837303,-64.820279988
Cordoba,Despenaderos,-31.817051593,-64.288989406
Formosa,Riacho negro,-25.42475062,-57.7912538
Cordoba,General cabrera,-32.811891084,-63.873696571
Entre rios,Hernandarias,-31.23245007,-59.987257644
Cordoba,General baldissera,-33.122017177,-62.303721256
Cordoba,Colonia iturraspe,-31.207143324,-62.109918203
Cordoba,Anisacate,-31.744155795,-64.393263101
Santa fe,Tortugas,-32.751697154,-61.735957449
Buenos aires,Coronel dorrego,-38.620494912,-60.880960343
Santiago del estero,Ramirez de velazco,-29.243566964,-63.372447253
Cordoba,Embalse,-32.206507688,-64.400622683
Salta,La merced,-25.014152527,-65.393699646
Cordoba,Saira,-32.406411637,-62.102983179
Ciudad de buenos aires,Comuna 12,-34.57154113,-58.48785606
Entre rios,Cerrito,-31.582171122,-60.074022315
Santa fe,Arrufo,-30.23414953,-61.7285807
Cordoba,Chilibroste,-32.332596925,-62.51359951
Entre rios,Las tunas,-31.870609573,-59.732436108
Cordoba,Matorrales,-31.714472041,-63.511852146
Jujuy,Catua,-23.940210342,-66.821815491
Cordoba,Alto alegre,-32.254462126,-62.813781833
Formosa,El recreo,-25.066315255,-59.251351463
Rio negro,Guardia mitre,-40.430295188,-63.67191401
Catamarca,Belen,-27.668799948,-66.983185418
La pampa,Pichi huinca,-35.647342393,-64.769528066
Santiago del estero,Chaupi pozo,-27.528902881,-64.396358656
Cordoba,Coronel baigorria,-32.849547895,-64.359859137
Cordoba,Marull,-30.994522632,-62.825840108
Cordoba,Villa general belgrano,-31.942027417,-64.616540614
Cordoba,Las higueras,-33.089242221,-64.286822769
Buenos aires,Ensenada,-34.875848555,-57.933629899
Misiones,Campo ramon,-27.479699296,-54.963923404
Jujuy,San francisco,-23.617466406,-64.954861229
Buenos aires,Alberti,-35.109617833,-60.070551325
Santa fe,La vanguardia,-33.359625797,-60.658456866
Cordoba,Villa sarmiento,-34.121619574,-64.724049936
Corrientes,Itati,-27.33472115,-58.18128404
Cordoba,La playosa,-32.09969486,-63.032528965
Chaco,Colonia benitez,-27.330588438,-58.945010275
Santa fe,Margarita,-29.6901496,-60.055189
Santiago del estero,Real sayana,-28.815129489,-62.761034546
Mendoza,Santa rosa,-33.324573517,-68.010673523
Entre rios,Walter moss,-31.364642364,-58.634441401
Cordoba,La playa,-31.035025744,-65.345312225
Santa fe,Rivadavia,-31.3087151,-61.0125869
Santa fe,Las palmeras,-30.632634583,-61.627723389
La rioja,General ocampo,-30.805494179,-66.092842038
Salta,Profesor salvador mazza,-22.085733414,-63.677333832
Salta,Vaqueros,-24.62766,-65.45747
Salta,Seclantas,-25.330509957,-66.248446623
Santa fe,Fray luis beltran,-32.785558188,-60.729123644
Chaco,Laguna limpia,-26.496701391,-59.679937288
Chaco,Makalle,-27.1738508,-59.26113326
Formosa,Colonia pastoril,-25.670140461,-58.262630283
Santa fe,Bombal,-33.460061522,-61.318932439
Santa fe,Colonia raquel,-30.839223557,-61.489711164
Entre rios,Tabossi,-31.804707756,-59.93791516
Misiones,Montecarlo,-26.536899654,-54.64963662
Buenos aires,Lomas de zamora,-34.762767641,-58.42679039
La pampa,Falucho,-35.189081443,-64.103873225
Entre rios,Mojones norte,-31.499843648,-59.118323231
Misiones,El soberbio,-27.366389,-54.227239
Entre rios,Colonia crespo,-31.662574809,-60.175114482
Neuquen,Buta ranquil,-37.050787606,-69.873851086
Santiago del estero,San pedro,-27.955073986,-64.107899764
Entre rios,Concordia,-31.403742646,-58.039412827
Santiago del estero,El colorado,-27.917442871,-62.117137896
Salta,Isla de canas,-22.886420025,-64.657375719
Cordoba,Lucio victorio mansilla,-29.80637172,-64.706541264
Tucuman,Monteros,-27.167476664,-65.498777449
Santa fe,Ituzaingo,-30.7814056,-61.1753126
Cordoba,Talaini,-31.249692473,-65.167200042
Cordoba,Colonia bismarck,-33.300301709,-62.713298641
Buenos aires,Campana,-34.253040637,-58.958440037
Entre rios,Las mercedes,-33.220262469,-58.850751863
Entre rios,Alcaraz norte,-31.372534919,-59.695860792
Catamarca,Ancasti,-29.119796753,-65.396270752
Cordoba,Adelia maria,-33.631620222,-64.020837296
Santa fe,Piamonte,-32.145866524,-61.981120218
Corrientes,Cruz de los milagros,-28.808971156,-59.092598658
Corrientes,Bella vista,-28.520547455,-58.768687164
Cordoba,Wenceslao escalante,-33.172022848,-62.770000327
Santa fe,Los molinos,-33.105489996,-61.326501533
Entre rios,Pueblo brugo,-31.388301593,-60.093833404
San juan,Caucete,-31.27914956,-67.5278115
Jujuy,Aguas calientes,-24.555636846,-64.942420794
Cordoba,Rio segundo,-31.650153972,-63.911863016
Catamarca,Capayan,-29.059776306,-65.887626648
San luis,Juan jorba,-33.61328063,-65.271750296
La pampa,La maruja,-35.701488918,-65.10255352
Entre rios,Estacion libaros,-32.23889742,-58.94615315
Entre rios,Estacion escrina,-32.59323583,-58.903741651
Santa fe,San guillermo,-30.360209853,-61.917827263
Corrientes,Ituzaingo,-27.588180585,-56.69982819
La rioja,San blas de los sauces,-28.451797491,-67.117897851
Santa fe,Ceres,-29.882337128,-61.945237427
Rio negro,Ojos de agua,-41.534892227,-69.85464597
San luis,Bagual,-35.144848451,-65.567665245
Buenos aires,General alvarado,-38.2440211,-58.1036131
Santa fe,Arocena,-32.080027194,-60.977004964
Santa fe,Villa minetti,-28.588630714,-61.558406924
Cordoba,Colonia las pichanas,-31.245406629,-62.925666489
Santa fe,Juan de garay,-29.69115297,-61.602441092
Entre rios,Hocker,-32.087495845,-58.341705844
Entre rios,Estacion raices,-31.920258813,-59.356709473
Chubut,Los altares,-43.871192998,-68.430116878
Entre rios,Cuchilla redonda,-33.082496643,-59.092739105
Cordoba,Las varas,-31.801292159,-62.617104724
Corrientes,Tabay,-28.306267818,-58.286296699
Entre rios,Urdinarrain,-32.688131155,-58.888994554
Santa fe,Puerto general san martin,-32.719002596,-60.733492539
Buenos aires,Ezeiza,-34.812821628,-58.552165006
Entre rios,Maria grande 2°,-31.651006976,-59.564455949
Cordoba,Chajan,-33.556336135,-65.005269917
Santa fe,Perez,-32.998811169,-60.77215921
Neuquen,Taquimilan,-37.516910388,-70.250386371
Rio negro,Darwin,-39.20269129,-65.74091723
Santa fe,Candioti,-31.399524403,-60.749114929
Entre rios,Don cristobal primero,-32.159564972,-59.815734863
Rio negro,Rio chico,-41.716722784,-70.471083901
Catamarca,Paclin,-27.935282862,-65.699367489
Cordoba,Cosquin,-31.240571225,-64.465531257
La pampa,Cuchillo co,-38.333678474,-64.642252696
Salta,Animana,-25.925069535,-65.963488639
Entre rios,Colonia santa maria y las margaritas,-30.556074949,-58.089122383
Misiones,Puerto iguazu,-25.629453164,-54.566203183
Cordoba,La paquita,-30.907054577,-62.215436182
Santa fe,Colonia duran,-29.6104906,-60.0378222
Santa fe,Golondrina,-28.558870958,-60.025191932
Salta,El carril,-25.097923279,-65.36340332
San luis,Saladillo,-33.196651459,-65.932792664
Cordoba,Las isletillas,-32.510097987,-63.929022936
Santiago del estero,Pozuelos,-27.34363384,-64.702675251
Ciudad de buenos aires,Comuna 11,-34.61619362,-58.482957352
Misiones,Bonpland,-27.482069689,-55.477420084
Entre rios,Colonia viraro,-31.291345184,-59.428147141
Salta,Guachipas,-25.68403,-65.21744
Santa fe,Sastre,-31.769532524,-61.829452957
Entre rios,Aldea eigenfeld,-31.885412846,-60.234448335
Santa fe,Galvez,-32.032645592,-61.219961027
Santa fe,Castellanos,-31.1551178,-61.7330738
Santa fe,Canada rosquin,-31.962238253,-61.51263874
Cordoba,Cintra,-32.308147633,-62.653118415
Tucuman,Piedrabuena,-26.6812057,-64.7328482
La pampa,Abramo,-37.894331329,-63.851502591
Santa fe,San antonio,-31.212813418,-61.725720001
Buenos aires,San miguel,-34.575140152,-58.696040989
Entre rios,Ceibas,-33.499412405,-58.800354171
Cordoba,San roque,-31.349690437,-64.459929392
Misiones,San javier,-27.865323157,-55.134837653
Jujuy,Coranzuli,-23.146064798,-66.248537489
Misiones,Leandro n alem,-27.637358375,-55.34714448
Cordoba,Santa maria de punilla,-31.270331986,-64.465335768
San luis,El volcan,-33.251296607,-66.187702297
Cordoba,Simbolar,-30.4752564,-63.985039522
Santa fe,Tacuarendi,-28.420206247,-59.255674004
Buenos aires,Adolfo alsina,-37.2547036,-62.6911852
Entre rios,Paraje guayaquil,-30.983411854,-58.03954926
Chubut,Facundo,-45.319271038,-69.972112735
San luis,San luis,-33.337466193,-66.362460049
Entre rios,Paso de las piedras,-31.690563881,-60.159061004
Buenos aires,Saavedra,-37.951999697,-62.654939731
Cordoba,Assunta,-33.633296201,-63.225906091
Ciudad de buenos aires,Comuna 14,-34.573899984,-58.422436452
Neuquen,Villa pehuenia,-38.969904368,-71.045741095
San juan,Calingasta,-31.186006546,-69.462478638
Cordoba,Rincon,-31.595385474,-63.615541428
Formosa,San hilario,-26.024867679,-58.650072623
Entre rios,Aldea valle maria,-31.992244009,-60.587850227
Rio negro,Catriel,-37.881528863,-67.79455697
Rio negro,Pilcaniyeu,-41.450405781,-70.682789463
Chaco,Napenay,-26.731468711,-60.619028515
Neuquen,Plottier,-38.951056161,-68.247840387
"Tierra del fuego, antartida e islas del atlantico sur",Area sin gobierno,-51.806531825,-58.959658956
Santa fe,Villa canas,-34.1177078,-61.6952619
Cordoba,Villa santa cruz del lago,-31.374025722,-64.483112294
Entre rios,San salvador,-31.579278177,-58.506066937
Santa fe,Silva,-30.490703583,-60.408802032
Cordoba,General deheza,-32.754929116,-63.785038352
Santiago del estero,Matara,-28.112422977,-63.127605775
Cordoba,Villa la bolsa,-31.728787957,-64.432417498
San juan,Ullum,-31.465938511,-68.735333803
La pampa,Rancul,-35.066198556,-64.683114986
Cordoba,Los hornillos,-31.90173531,-64.990089004
Formosa,Villa escolar,-26.621184482,-58.671833694
Santa fe,Amenabar,-34.136118441,-62.422908485
Santiago del estero,Villa silipica,-28.13556544,-64.082415863
Santa fe,La sarita,-28.945835,-59.7883051
Cordoba,Berrotaran,-32.452866921,-64.385440468
Santiago del estero,Pampa de los guanacos,-26.206285599,-61.817893703
Formosa,Porton negro,-24.966359898,-58.74197491
Chubut,Rada tilly,-45.936801919,-67.565396024
Neuquen,Villa puente picun leufu,-39.19669664,-70.17122043
Misiones,Posadas,-27.476594927,-55.921699607
Santiago del estero,Sumampa,-29.394585995,-63.371686651
Tucuman,Escaba,-27.617860794,-65.817527771
Entre rios,Santa anita,-32.176246632,-58.786482246
Entre rios,Villa fontana,-31.908647497,-60.468352081
Santiago del estero,San jose del boqueron,-26.115658347,-63.588004293
Santa fe,Ibarlucea,-32.85125613,-60.788493665
Cordoba,Conlara,-32.137966783,-65.223236085
Buenos aires,Adolfo gonzales chaves,-38.06703,-59.873740005
Tucuman,Sargento moya,-27.227820085,-65.6598562
Cordoba,Pampayasta sud,-32.250758115,-63.651014033
Entre rios,Colonia avellaneda,-31.768069051,-60.405022063
Santa fe,Angeloni,-30.857517709,-60.648609868
Formosa,Mision tacaagle,-24.979650568,-58.822743444
Tucuman,Las cejas,-27.00737,-64.77975
Entre rios,Nogoya,-32.395641642,-59.788076416
Tucuman,San felipe y santa barbara,-26.874983553,-65.232226238
Jujuy,El aguilar,-23.15337899,-65.5482353
Jujuy,San antonio,-24.271027282,-65.272944492
Entre rios,El redomon,-31.095880846,-58.290063733
Santa fe,Tacural,-30.848107149,-61.592401815
Buenos aires,Tres de febrero,-34.568406663,-58.603081886
Cordoba,Villa rossi,-34.297937328,-63.268539714
Formosa,Palo santo,-25.56390638,-59.336005984
Santa fe,Aldao,-32.706985324,-60.81795182
Cordoba,Luque,-31.646873629,-63.3447983
Tucuman,La trinidad,-27.421777725,-65.497642517
Cordoba,Copacabana,-30.643234976,-64.498512768
Buenos aires,San andres de giles,-34.5361827,-59.5038768
Entre rios,Gualeguaychu,-33.010032827,-58.516425795
Tucuman,Cevil redondo,-26.762968002,-65.307947671
Entre rios,Villa paranacito,-33.715624422,-58.659763145
Entre rios,Isletas,-32.220537381,-60.364275802
Jujuy,El condor,-22.383451244,-65.327904835
San juan,San juan,-31.537197038,-68.525018317
Cordoba,Monte ralo,-31.911574981,-64.239991846
Santa fe,Venado tuerto,-33.801615968,-62.044360385
San luis,Leandro n alem,-32.484916687,-66.128837585
Cordoba,Coronel moldes,-33.623086874,-64.597103351
Santa fe,San jose del rincon,-31.606147112,-60.569631685
Salta,Metan,-25.529679813,-64.924538385
Cordoba,Villa giardino,-31.036277394,-64.492889912
Santa fe,Montefiore,-29.667869823,-61.867108288
Entre rios,Lucas gonzalez,-32.385928948,-59.531300465
Chaco,Hermoso campo,-27.487621616,-61.323881842
Catamarca,San fernando,-27.33518,-66.90081
Misiones,Martires,-27.40588392,-55.33529565
La pampa,Alpachiri,-37.375881193,-63.773873591
Salta,Las lajitas,-24.771749497,-64.45652771
Entre rios,Las guachas,-32.470007544,-59.172662503
Rio negro,Chelforo,-39.088163116,-66.520954661
Buenos aires,Salliquelo,-36.751165381,-62.959957344
Cordoba,Villa gutierrez,-30.656951171,-64.181959081
La rioja,General belgrano,-30.554965529,-66.292134268
Santiago del estero,Termas de rio hondo,-27.537764943,-64.80425714
Entre rios,San jose de feliciano,-30.429341534,-58.76618814
Cordoba,Morrison,-32.593642308,-62.83600846
Tucuman,El naranjito,-26.9961211,-65.0865999
San luis,La punilla,-33.14295371,-65.086130681
Cordoba,La posta,-30.5653596,-63.516305369
Santiago del estero,Icano,-28.680723899,-62.798982071
La pampa,Quemu quemu,-36.053677481,-63.563243292
Catamarca,Puerta de corral quemado,-27.235216069,-67.064430235
Santa fe,Galisteo,-31.033841699,-61.357886692
Santa fe,Laguna paiva,-31.309261927,-60.660781609
Chubut,Gaiman,-43.33395568,-65.47259113
Misiones,Alba posse,-27.524727349,-54.773950697
Cordoba,Las perdices,-32.698188446,-63.708310318
Cordoba,Elena,-32.572068411,-64.392951842
Salta,Salta,-24.774097443,-65.138450623
Santiago del estero,Tomas young,-28.60234676,-62.183515806
Cordoba,James craik,-32.161305638,-63.46519195
Formosa,Siete palmas,-25.201507662,-58.330676377
Chaco,Puerto tirol,-27.412867994,-59.420157971
San juan,9 de julio,-31.593641792,-68.407719672
Cordoba,Carrilobo,-31.87164688,-63.116507442
Santa fe,Sunchales,-30.946855513,-61.561250432
Rio negro,Mainque,-39.028251798,-67.298454912
Salta,Molinos,-25.93857193,-66.524742127
Formosa,Riacho he-he,-25.361711702,-58.278251883
Santa fe,Grutly,-31.27050269,-61.07275427
San luis,Fortin el patria,-34.769756516,-65.522934518
Tucuman,Garmendia,-26.62313,-64.57003
Santa fe,Santa fe,-31.6437792,-60.6687989
Santa fe,Miguel torres,-33.529950262,-61.466206873
Buenos aires,Brandsen,-35.149938398,-58.050452867
Chaco,Presidencia roca,-26.15353262,-59.82025691
Santa cruz,Nuestra senora de los dolores de koluel kaike,-46.71682675,-68.227961459
Cordoba,Villa parque siquiman,-31.345717088,-64.480257105
Entre rios,Gobernador echague,-32.393370133,-59.275888681
Santa fe,Huanqueros,-30.013674753,-61.219294765
Santa fe,Colonia rosa,-30.302278589,-61.98449137
Rio negro,General conesa,-40.104735426,-64.452961946
La pampa,Macachin,-37.126296112,-63.82921122
Jujuy,Caimancito,-23.739526932,-64.594100614
Santiago del estero,Nueva francia,-28.197257042,-64.12895715
Buenos aires,Monte hermoso,-38.981506538,-61.300545749
Buenos aires,Tres lomas,-36.4465885,-63.0090639
Corrientes,Tapebicua,-29.36232599,-57.069937951
Neuquen,Coyuco cochico,-36.4849881,-70.22237166
Cordoba,Ucacha,-33.03343928,-63.508257159
Formosa,El potrillo,-23.15691557,-62.00043309
Chaco,Tres isletas,-26.238541312,-60.342086254
Mendoza,General alvear,-34.979260456,-67.659089321
Santa fe,Canada rica,-33.517417556,-60.613296887
Cordoba,Mi granja,-31.350110661,-63.999645099
Formosa,Banco payagua,-26.707129703,-58.339074583
Tucuman,El manantial,-26.8347321,-65.3144155
Santiago del estero,Vilmer,-27.808087616,-64.090076456
Santiago del estero,Laprida,-28.407354817,-64.454192782
Santa fe,San jorge,-31.898003817,-61.860328778
Entre rios,San marcial,-32.180062401,-58.930127203
Santa fe,Nanducita,-30.372459923,-61.132601581
Cordoba,Pozo nuevo,-29.702336397,-64.230261022
Cordoba,Rayo cortado,-30.074259329,-63.824981824
Santa fe,Colonia cello,-31.433849725,-61.841702171
Tucuman,El chanar,-26.758360561,-65.069388892
Buenos aires,Merlo,-34.669858136,-58.697930437
Cordoba,Charbonier,-30.77208691,-64.544159553
Cordoba,Las rabonas,-31.854449467,-64.98709706
Cordoba,El chacho,-30.849700273,-65.365090379
Buenos aires,Quilmes,-34.726964425,-58.318279562
Entre rios,Lucas sur segundo,-31.451146,-58.706144
Cordoba,Cruz del eje,-30.721859217,-64.807737731
Santa fe,Eusebia y carolina,-30.94761357,-61.857773527
Cordoba,Mina clavero,-31.6858934,-64.9529009
Buenos aires,Junin,-34.49188,-60.95047
Santiago del estero,Tapso,-28.442128141,-65.02445213
Cordoba,San francisco,-31.427608887,-62.086633615
Corrientes,Esquina,-30.02285,-59.4806088
Ciudad de buenos aires,Comuna 10,-34.627686291,-58.483587278
Formosa,Palma sola,-25.247551235,-57.976840379
La pampa,Monte nievas,-35.861746406,-64.156967521
San juan,Iglesia,-30.51059811,-69.45997571
Buenos aires,Berazategui,-34.832640469,-58.100841229
Formosa,General mosconi,-23.182718625,-62.304068544
Rio negro,Comico,-41.063275512,-67.596560098
Santa fe,Santa clara de saguier,-31.33735905,-61.818178378
Santa fe,Canada ombu,-28.310830422,-59.983716645
Tucuman,Tafi viejo,-26.762775048,-65.237117165
Santiago del estero,Herrera,-28.485845127,-62.992646997
Corrientes,Pedro r fernandez,-28.78160437,-58.679730741
Entre rios,Mojones sur,-31.66580467,-59.308669624
Santa fe,Hugentobler,-30.9183876,-61.7534509
San luis,Navia,-34.772673367,-66.586278867
Entre rios,San benito,-31.805371396,-60.404941064
Cordoba,Capilla del siton,-30.572964085,-63.651741691
Santa fe,Pujato norte,-31.5197752,-60.9288764
Catamarca,Recreo,-29.286230087,-65.236183166
Entre rios,Paso de la arena,-31.753732175,-60.176489634
Chaco,General san martin,-26.412480425,-59.325469963
Cordoba,Los cedros,-31.55717658,-64.402832148
Entre rios,Mulas grandes,-30.368112262,-59.150675569
Cordoba,Corralito,-32.025257244,-64.193158893
Santiago del estero,Bandera,-28.873512946,-62.169826238
Chubut,El hoyo,-42.067966664,-71.520670837
Cordoba,Rio primero,-31.329183849,-63.621866727
Santa cruz,Jaramillo - fitz roy,-47.025794031,-67.254285657
La pampa,La adela,-38.963052677,-63.860888246
Cordoba,Obispo trejo,-30.781192449,-63.413049434
Cordoba,Camilo aldao,-33.123740826,-62.09659546
Mendoza,Las heras,-32.595534534,-69.358205374
Cordoba,Banado de soto,-30.7758992,-65.0684404
San luis,Villa de praga,-32.533964078,-65.647704279
Mendoza,Capital,-32.869913563,-68.862351111
San luis,San pablo,-32.658342389,-65.308092041
Santa fe,San agustin,-31.684777887,-60.941314745
Cordoba,Rafael garcia,-31.646537395,-64.258478773
Catamarca,Santa rosa,-28.152036469,-65.375723406
Entre rios,Pueblo general belgrano,-33.016288846,-58.47604376
Cordoba,Balnearia,-31.01070757,-62.667104401
Santa fe,Colonia dolores,-30.383682587,-60.330725488
Santa fe,Gaboto,-32.434376082,-60.818539094
Cordoba,Colonia almada,-32.033345653,-63.862884693
Neuquen,Bajada del agrio,-38.478192878,-70.085232529
Santa fe,Tartagal,-28.749804529,-59.86602197
Entre rios,Don cristobal segundo,-32.075259405,-59.99432302
San luis,Villa la florida,-33.116758725,-66.002009002
Entre rios,Puerto algarrobo,-31.110953745,-59.846725465
Chaco,Resistencia,-27.517900467,-59.007217407
Entre rios,La clarita,-31.977137505,-58.391762889
Santa fe,Bouquet,-32.543165117,-61.851019919
Jujuy,El carmen,-24.39946901,-65.27698224
Buenos aires,Bragado,-35.1189423,-60.487914757
Chaco,Machagai,-26.913802693,-59.935868332
Buenos aires,Magdalena,-35.269568396,-57.575711745
San luis,Santa rosa del conlara,-32.342308151,-65.207120661
Cordoba,Las bajadas,-32.095406358,-64.331053555
Tucuman,Trancas,-26.368832076,-65.295506468
Chaco,Basail,-27.767302766,-59.256700222
Santa fe,Pinero,-33.0759052,-60.7035545
