provincia,municipio,latitud,longitud
Corrientes,Colonia pando,-28.525214883,-58.486934549
Entre rios,Colonia san anselmo y aledanas,-32.30106483,-58.27904075
Entre rios,Costa grande,-32.281285153,-60.431193463
Entre rios,La florida,-30.67149184,-58.01593122
Entre rios,San roque,-30.706810067,-57.887849136
Entre rios,Banderas,-30.789240542,-59.160120376
Entre rios,Distrito diego lopez,-31.155743694,-58.918162213
Entre rios,Santa lucia,-30.874467495,-58.523085674
Entre rios,Distrito chanar,-30.30815813,-58.81806904
Entre rios,Las mulitas,-30.37970606,-58.99523657
Entre rios,Islas las lechiguanas,-33.44138931,-59.8906592
Entre rios,Pastor britos,-32.769742613,-58.907020041
Entre rios,Rincon del gato,-32.697677313,-58.617448789
Entre rios,Perdices,-33.299770355,-58.705184936
Entre rios,Nancay,-33.44864594,-58.66964192
Entre rios,La providencia,-31.246829,-59.7497
Entre rios,Saucecito,-30.63413672,-59.26126334
Entre rios,Crucesitas octava,-32.040561055,-59.528795103
Entre rios,Oro verde,-31.825735547,-60.518272816
Entre rios,Arroyo corralito,-31.532554,-60.050345
Entre rios,Aldea santa rosa,-32.01645446,-60.241107347
Entre rios,Colonia oficial n° 5,-31.593985089,-58.371160151
Entre rios,Arroyo gena,-32.34236749,-58.64816979
Entre rios,San cipriano,-32.388415873,-58.335042065
Entre rios,Tala,-32.61841391,-58.42112859
Entre rios,Chilcas,-32.312292219,-60.311258623
Entre rios,Hinojal,-32.333431074,-60.162989466
Entre rios,Rincon del doll,-32.362622704,-60.345355254
Entre rios,Montoya,-32.641140103,-59.874377587
Entre rios,Colonia adivino,-31.316926088,-59.308566952
Entre rios,Paraje los algarrobos,-31.540698367,-59.341990253
Rio negro,Pichi mahuida,-38.829613618,-64.937419806
Santa cruz,Mina 3,-51.548766046,-72.233390977
Santa fe,Maua,-30.768702,-61.258321
Santa fe,Nicanor molinas,-29.141320195,-59.761140808
Santa fe,Dos rosas y la legua,-30.588125,-61.9758256
Santiago del estero,San ramon - la darsena,-27.727552273,-64.245798473
Santiago del estero,Villa zanjon,-27.886040581,-64.173079775
Santiago del estero,Villa matoque,-25.83161256,-63.79513141
Santiago del estero,Guampacha,-28.01271,-64.79012
Santiago del estero,Villa guasayan,-27.88479,-64.85159
Santiago del estero,Pozo del toba,-27.95090645,-61.99804769
Santiago del estero,Quebracho coto,-26.283780487,-64.467463769
Santiago del estero,Villa robles,-27.92487,-64.10821
Tucuman,Simoca,-27.262422671,-65.355289474
Tucuman,Soldado maldonado,-27.142336008,-65.565682202
Tucuman,Los pereyra,-26.940437317,-64.876953125
Santiago del estero,Sol de mayo,-27.70388,-64.58849
Santiago del estero,Juanillo,-28.59715,-63.69028
Santiago del estero,Punta pozo,-28.49739679,-63.622774783
Santiago del estero,El aibe,-27.58601488,-64.2608784
Santiago del estero,Abra grande,-27.293133016,-64.379064525
Santiago del estero,Remes,-27.85658967,-64.53379074
Santiago del estero,San benito,-28.14621,-64.48821
Santiago del estero,El dean,-27.735169777,-64.305769166
Santiago del estero,San vicente,-28.48865398,-64.13637705
Santiago del estero,Santa catalina,-28.12767215,-64.78335763
Santiago del estero,Santa maria,-27.963543299,-64.152936395
Santiago del estero,Caspi corral,-27.390761513,-63.548956189
Santiago del estero,Vaca huanuna,-27.474492606,-63.469937534
Santiago del estero,Melero,-28.3169,-62.96468
Santiago del estero,La nena - la simona,-28.37352779,-61.87555346
Santiago del estero,Tres cruces,-27.20007,-64.68089
Santiago del estero,Yuchan,-27.782216214,-62.900345101
Santiago del estero,La noria,-28.578263,-64.115681
Santiago del estero,Sauce solo,-28.57126879,-64.2544732
Santiago del estero,Amama,-27.20879,-63.03976
Santiago del estero,Villa brana,-27.34717422,-62.91397135
Santiago del estero,Libertad,-27.075866881,-63.070890376
Santiago del estero,Negra muerta,-27.50989965,-64.11713354
Santiago del estero,Kilometro 49,-29.086799377,-63.875828156
Santiago del estero,Campo grande,-26.372054029,-63.973543649
Santiago del estero,Villa mercedes,-26.468147288,-64.167850181
Santiago del estero,Santo domingo,-26.254688546,-63.755245864
Santiago del estero,Amicha,-27.639726183,-64.864054427
Santiago del estero,Lescano,-27.50364,-64.76452
Santiago del estero,Los ovejeros,-27.497077387,-64.708892716
Santiago del estero,Sotelo,-27.46616,-64.72653
Santiago del estero,Los romanos - santo domingo,-27.80840504,-64.1842269
Santiago del estero,Villa hipolita,-27.76267,-63.98916
Santiago del estero,Vaca human,-28.919499805,-63.628810103
Santiago del estero,Tio pozo,-28.404929221,-63.982684182
Santiago del estero,Villa nueva,-28.330048232,-63.928170394
Santiago del estero,Huachana,-26.41494,-63.50093
Santiago del estero,Sumamao,-28.196757533,-64.035717273
Santiago del estero,Ahi veremos,-25.72948778,-63.46601397
Santiago del estero,Acos - pozo del arbolito,-27.68314,-64.97924
Entre rios,San miguel,-32.149167419,-58.563439582
Santiago del estero,San antonio - roldan,-27.80385,-63.11604
Entre rios,Albardon - punta del monte,-33.06751963,-59.64367116
Santiago del estero,Hoyon,-28.62926,-63.95973
Misiones,Pozo azul,-26.34695049,-54.15002011
Entre rios,Distrito tala,-31.735879,-60.044546
Neuquen,Villa lago meliquina,-40.381687551,-71.261615279
Santiago del estero,El sauzal,-27.489104672,-64.581838645
Chaco,Colonia aborigen,-26.98340491,-60.23453298
Santiago del estero,Atoj pozo,-28.2954,-63.86655
Santiago del estero,Vuelta de la barranca,-27.872981127,-64.127603811
Entre rios,Colonia reffino,-31.93650466,-60.374539185
Entre rios,Estacion yuqueri,-31.396381239,-58.161153544
